ZrB2,HfB2,SiC,Sintering_Method,Sintering_Temperature,Sintering_Pressure,Sintering_Time,Mean_Grain_Size,Relative_Density,Oxidation_Test,Temperature,Time_Temp,Oxide_Thickness
80,0,20,Hot pressed,2000,25,60,4.02,99.7,Furnace,1500,300,114
70,0,30,Hot pressed,2000,25,60,3.88,97.5,Furnace,1500,300,82
70,0,30,Hot pressed,1950,32,45,2.5,98,Furnace,1500,240,80
90,0,10,Hot pressed,2000,30,60,3.3,,Furnace,1500,30,52.5
77.6,0,22.4,Hot pressed,1650,60,120,3.4,97.9,Furnace,1500,10,45
80,0,20,Hot pressed,1950,30,60,,,Furnace,1500,30,40
70,0,30,Hot pressed,2000,30,60,2.2,,Furnace,1500,600,37
70,0,30,Hot pressed,1950,32,45,2.5,98,Furnace,1500,120,37
0,80,20,Spark Plasma Sintering,2100,32,17,2.5,99,Furnace,1500,60,30
70,0,30,Hot pressed,2000,30,60,2.2,,Furnace,1500,180,27.5
0,80,20,Spark Plasma Sintering,2100,32,17,2.5,99.51,Furnace,1500,60,25
70,0,30,Hot pressed,2000,30,60,2.2,,Furnace,1500,30,15
0,74.08,25.92,Hot pressed,1900,32,60,5,99.8,Furnace,1500,30,13
0,80,20,Hot pressed,2000,30,60,2.6,99.27,Furnace,1500,33.33333333,10
90,0,10,Hot pressed,1900,50,20,3,100,Furnace,1450,1200,205
75,0,15,Hot pressed,1940,40,45,3,98.2,Furnace,1450,1200,125
75,0,15,Hot pressed,1920,40,45,3,98.2,Furnace,1450,1200,100
85,0,15,Hot pressed,1820,30,15,2,99,Furnace,1450,1200,50
100,0,0,Spark Plasma Sintering,2000,50,6,10,95.8,Furnace,1400,60,291
0,100,0,Spark Plasma Sintering,2100,50,5,12,99.2,Furnace,1400,60,248
90,0,10,Spark Plasma Sintering,1800,40,5,4.5,85,Furnace,1400,180,145
70,0,30,Hot pressed,,,,6,99.9,Furnace,1400,900,140
70,0,30,Spark Plasma Sintering,1800,40,5,4.2,95,Furnace,1400,180,110
70,0,30,Hot pressed,,,,6,99.9,Furnace,1400,300,100
80,0,20,Hot pressed,1850,40,60,,97.5,Furnace,1400,600,55
0,80,20,Spark Plasma Sintering,2100,32,17,2.5,99,Furnace,1400,60,25
0,80,20,Spark Plasma Sintering,2100,32,17,2.5,99.51,Furnace,1400,60,20
